               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.035616,            0.023409,            0.022081,             0.89837,             0.83972,             0.90442,             0.38784,            0.029709,            0.012855,           0.0069963,             0.00063,             0.00063,             0.09433
                   1,            0.034018,            0.019455,           0.0041815,             0.92209,                0.89,             0.92684,             0.43674,            0.026917,           0.0094346,          0.00081699,           0.0012697,           0.0012697,             0.08857
                   2,            0.030404,            0.014945,           0.0012016,             0.92088,               0.935,             0.92736,             0.46201,             0.02502,           0.0084589,          0.00015541,           0.0019083,           0.0019083,            0.082808
                   3,            0.028916,             0.01466,          0.00085966,             0.91787,             0.94997,             0.93846,             0.48498,            0.024234,           0.0079673,           0.0001014,           0.0025449,           0.0025449,            0.077045
                   4,             0.02872,            0.015465,           0.0005722,             0.96368,                0.93,             0.96083,             0.50419,            0.024181,           0.0073775,          8.2941e-05,           0.0031787,           0.0031787,            0.071279
                   5,            0.029713,            0.013716,          0.00054854,             0.96439,                0.95,             0.96586,             0.55387,            0.021794,           0.0071305,          7.7057e-05,           0.0038088,           0.0038088,            0.065509
                   6,            0.026185,            0.013015,          0.00025505,             0.96059,               0.975,             0.98206,             0.55688,            0.021672,           0.0069687,          6.2394e-05,           0.0044344,           0.0044344,            0.059734
                   7,            0.027947,            0.013799,          0.00017766,             0.97029,             0.97991,             0.97979,             0.57512,             0.02095,           0.0067891,          6.3399e-05,           0.0050546,           0.0050546,            0.053955
                   8,            0.026258,            0.013189,          0.00036889,             0.96568,               0.985,             0.98347,             0.51822,             0.02345,           0.0065857,          5.7814e-05,           0.0056687,           0.0056687,            0.048169
                   9,            0.025476,            0.012376,          0.00020033,             0.97511,               0.985,             0.98882,             0.61016,            0.019839,           0.0064169,          6.0924e-05,           0.0062758,           0.0062758,            0.042376
                  10,             0.02583,            0.012508,          0.00021712,             0.97995,               0.985,              0.9901,             0.63168,            0.019862,           0.0063155,           6.846e-05,           0.0068752,           0.0068752,            0.036575
                  11,            0.025535,            0.012422,           0.0002311,             0.98014,                0.99,             0.99183,             0.62171,             0.02008,            0.006132,          8.7674e-05,           0.0074659,           0.0074659,            0.030766
